#comentario de prueba
#comentario de prueba
10, 10
outmap


6,3,1,5,6,0 # Teletransportador
6,2,3,2,5,0 # Teletransportador

7,8,8,0,0,0 # Destino
3,7,1,0,0,1 # Pared rompible
3,0,0,0,0,5 # Pared rompible
5,1,8,8,7,0 # Llave
5,1,3,8,9,0 # Llave
5,6,0,7,8,0 # Llave
5,3,5,9,8,0 # Llave

#Paredes
2,1,2,0,0,0
2,2,4,0,0,0
2,3,2,0,0,0
2,4,5,0,0,0
2,1,9,0,0,0
2,0,5,0,0,0

# Monedas
4,0,1,0,0,10
4,0,2,0,0,10
4,0,3,0,0,10
4,0,4,0,0,10
4,0,6,0,0,10
4,0,7,0,0,10
4,0,8,0,0,10
4,0,9,0,0,10
4,9,1,0,0,10
4,9,2,0,0,10
4,9,3,0,0,10
4,9,4,0,0,10
4,9,5,0,0,10
4,9,6,0,0,10
4,9,7,0,0,10
4,1,0,0,0,10
4,2,0,0,0,10
4,3,0,0,0,10
4,4,0,0,0,10
4,5,0,0,0,10
4,7,0,0,0,10
4,8,0,0,0,10
4,9,0,0,0,10
4,2,9,0,0,10
4,3,9,0,0,10
4,4,9,0,0,10
4,5,9,0,0,10
4,7,9,0,0,10
4,9,9,0,0,10
4,6,9,0,0,10
4,6,8,0,0,10
4,6,7,0,0,10
4,6,6,0,0,10
4,7,6,0,0,10
4,3,3,0,0,10
4,3,4,0,0,10
4,5,1,0,0,10
4,5,3,0,0,10
4,5,5,0,0,10
4,3,6,0,0,10
4,3,7,0,0,10
4,3,8,0,0,10
4,2,7,0,0,10

#Total Puntos:440

# Jugador
1, 8, 1, 0, 0, 0







